019386~006~6310094*PED~Jul 12, 2021~~~~
019386~006~6528540~Jan 12, 2021~~~~
019386~006~6528540*PED~Jul 12, 2021~~~~
019386~007~6310094~Jan 12, 2021~~~~
019386~007~6310094*PED~Jul 12, 2021~~~~
019386~007~6528540~Jan 12, 2021~~~~
019386~007~6528540*PED~Jul 12, 2021~~~~
019415~004~5767067~Jun 16, 2015~~~~
019415~005~5767067~Jun 16, 2015~~~~
019537~001~5286754~Feb 15, 2011~~~~
019537~001~5286754*PED~Aug 15, 2011~~~~
019537~002~5286754~Feb 15, 2011~~~~
019537~002~5286754*PED~Aug 15, 2011~~~~
019537~003~5286754~Feb 15, 2011~~~~
019537~003~5286754*PED~Aug 15, 2011~~~~
019537~004~5286754~Feb 15, 2011~~~~
019537~004~5286754*PED~Aug 15, 2011~~~~
019596~001~5362475~Nov 8, 2011~~~~
019596~001~5560903~Oct 1, 2013~~~~
019627~002~5714520~Mar 22, 2015~~~~
019627~002~5714520*PED~Sep 22, 2015~~~~
019627~002~5731355~Mar 22, 2015~~~U-217~
019627~002~5731355*PED~Sep 22, 2015~~~U-217~
019627~002~5731356~Mar 22, 2015~~~U-218~
019627~002~5731356*PED~Sep 22, 2015~~~U-218~
019627~002~5908869~Mar 22, 2015~~~U-270~
019627~002~5908869*PED~Sep 22, 2015~~~U-270~
019651~001~5541170~Jul 30, 2013~~~U-141~
019651~001~5541171~Jul 30, 2013~~~U-141~
019667~001~5753618~May 19, 2015~~~~
019667~001~5753618*PED~Nov 19, 2015~~~~
019667~002~5753618~May 19, 2015~~~~
019667~002~5753618*PED~Nov 19, 2015~~~~
019667~003~5753618~May 19, 2015~~~~
019667~003~5753618*PED~Nov 19, 2015~~~~
019667~004~5753618~May 19, 2015~~~~
019667~004~5753618*PED~Nov 19, 2015~~~~
019667~005~5753618~May 19, 2015~~~~
019667~005~5753618*PED~Nov 19, 2015~~~~
019670~002~4863931~Sep 15, 2008~~~~
019670~002~4863931*PED~Mar 15, 2009~~~~
019675~001~5068249~Nov 26, 2008~~~~
019675~001~5068249*PED~May 26, 2009~~~~
019677~001~4952586~Aug 28, 2007~~~U-54~
